EasementID,RestorationCategory,Size
00WSC,Seed + Fire,134
00WV0,Seed + Fire,90
0074F,Seed + Fire,101
792,Seed + Fire,54
007BY,Seed + Fire,39
007C6,Seed + Fire,29
007F5,Seed + Fire,150
007V7,Seed + Fire,20
00MJ8,Seed + Fire,380
00MJ9,Seed + Fire,36
00MJC,Seed + Fire,66
00WKB,Seed + Fire,95
00WY5,Seed + Fire,101
0129D,Seed + Fire,31.5
0077R,Seed,95
00XMS,Seed,19
00XMV,Seed,20
0074X,Seed,NA
0075V,Seed,10
0078F,Seed,98.3
0078S,Seed,23
007BQ,Seed,50
007KH,Seed,84
00MBG,Seed,50
00VTR,Seed,18
00XX7,Seed,11.6
00XYF,Seed,30
0129G,Seed,23
01DBS,Seed,31.2
0078Z,No Seed,30
007CQ,No Seed,4.7
007R5,No Seed,20
007XH,No Seed,18
00MDP,No Seed,13
00NCQ,No Seed,6.7
00XXK,No Seed,18.7
Oliver Prairie,Remnant,3.4
Westport Drumlin,Remnant,6.5
Arena Hill Prairie,Remnant,3
Black Earth Rettenmund,Remnant,17.5
Faville,Remnant,130
John Muir County Park,Remnant,18.2
Lulu lake,Remnant,5
Pleasant Valley Conservancy,Remnant,NA
Scuppernog,Remnant,NA
UW-Arboretum,Remnant,NA
Hauser Road,Remnant,NA
Snapper Prairie,Remnant,NA
007G4,No Seed,
007HN,No Seed,
007HP,No Seed,
007V4,No Seed,
01GPM,No Seed,