EasementID,RestorationCategory
00MDP,No Seed
00NCQ,No Seed
0078Z,No Seed
00XXK,No Seed
007CQ,No Seed
007R5,No Seed
007V7,Seed
007XH,Seed
0078S,Seed
01DBS,Seed
00XYF,Seed
0129G,Seed
0078F,Seed
00XX7,Seed
007BQ,Seed
00XMV,Seed
007KH,Seed
0075V,Seed
00XMS,Seed
007F5,Seed 
0129D,Seed+ Fire
007C6,Seed+ Fire
00MBG,Seed+ Fire
00MJC,Seed+ Fire
00WV0,Seed+ Fire
0077R,Seed+ Fire
792,Seed+ Fire
007BY,Seed+ Fire
00MJ8,Seed+ Fire
00MJ9,Seed+ Fire
00VTR,Seed+ Fire
00WSC,Seed+ Fire
00WY5,Seed+ Fire
0074F,Seed+ Fire
00WKB,Seed+ Fire
0078B,
0074X,Seed
007G7,
012CP,