SiteID,Soils?,Old_cat,RestorationCategory_NEW,Veg_Data,Monarch_Data,Insect_Data,Bees_2021,2018,2019,2020,2021, 
007BQ,N/A,Seed,Seed,0,1,0,0,NA,NA,NA,2021,
007G4,20-Aug,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
007HN,N/A,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
007HP,20-Aug,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
007V4,F,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
007WP,F,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
00XXJ,N/A,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
0129D,6-Aug,Seed,Seed + Fire,0,1,1,0,NA,NA,2020,2021,
01GPM,26-Aug,No Seed,No Seed,0,1,0,0,NA,NA,NA,2021,
792,6-Aug,Seed + Fire,Seed + Fire,1,1,1,0,NA,2019,NA,NA,
0074F,26-Aug,Seed + Fire,Seed + Fire,1,1,0,1,2018,NA,NA,2021,
0075V,F,Seed,Seed,1,1,1,0,NA,2019,NA,2021,
0077R,june,Seed,Seed,1,1,1,0,NA,2019,NA,2021,
0078F,25-Aug,Seed,Seed,1,1,1,0,2018,NA,2020,2021,
0078S,18-Aug,Seed,Seed,1,1,1,0,NA,2019,2020,NA,
0078Z,F,No Seed,No Seed,1,1,1,0,2018,NA,2020,2021,
007BY,26-Aug,Seed + Fire,Seed + Fire,1,1,1,0,NA,2019,NA,2021,
007C6,6-Aug,Seed + Fire,Seed + Fire,1,1,1,1,2018,2019,2020,NA,
007CQ,18-Aug,No Seed,No Seed,1,1,1,0,2018,NA,2020,2021,
007F5,G,Seed + Fire,Seed + Fire,1,1,1,1,NA,2019,NA,NA,
007KH,10-Aug,Seed,Seed,1,1,1,0,NA,2019,NA,NA,
007R5,F,No Seed,No Seed,1,1,1,0,NA,2019,NA,2021,
007V7,18-Aug,Seed + Fire,Seed + Fire,1,1,1,0,NA,2019,2020,2021,
007XH,G,No Seed,No Seed,1,1,1,0,NA,2019,2020,NA,
00MBG,G,Seed + Fire,Seed,1,1,1,1,2018,2019,2020,NA,
00MDP,20-Aug,No Seed,No Seed,1,1,1,0,NA,2019,2020,2021,
00MJ8,june,Seed + Fire,Seed + Fire,1,1,1,1,NA,2019,NA,NA,
00MJ9,june,Seed + Fire,Seed + Fire,1,1,1,1,NA,2019,NA,2021,
00MJC,25-Aug,Seed + Fire,Seed + Fire,1,1,1,1,2018,2019,2020,2021,
00NCQ,20-Aug,No Seed,No Seed,1,1,1,0,NA,2019,2020,NA,
00VTR,20-Aug,Seed,Seed,1,1,1,0,NA,2019,NA,2021,
00WKB,june,Seed + Fire,Seed + Fire,1,1,0,1,2018,NA,NA,2021,
00WSC,june,Seed + Fire,Seed + Fire,1,1,1,0,NA,2019,NA,NA,
00WV0,10-Aug,Seed + Fire,Seed + Fire,1,1,1,1,2018,2019,2020,2021,
00WY5,25-Aug,Seed + Fire,Seed + Fire,1,1,1,0,NA,2019,NA,NA,
00XMS,6-Aug,Seed,Seed,1,1,1,0,NA,2019,NA,NA,
00XMV,25-Aug,Seed,Seed,1,1,1,1,NA,2019,NA,2021,
00XX7,18-Aug,Seed,Seed,1,1,1,0,NA,2019,NA,2021,
00XXK,10-Aug,No Seed,No Seed,1,1,1,0,2018,NA,2020,2021,
00XYF,25-Aug,Seed,Seed,1,1,1,0,NA,2019,2020,NA,
0129G,6-Aug,Seed,Seed,1,1,1,1,2018,2019,2020,NA,
01DBS,june,Seed,Seed,0,1,1,1,2018,NA,2020,2021,
Oliver Prairie,1,,Remnant,0,0,1,0,,,2020,,
Westport Drumlin,0,,Remnant,0,0,1,0,,,2020,,
Arena Hill Prairie,0,,Remnant,0,0,1,0,,,2020,,
Black Earth Rettenmund,1,,Remnant,0,0,1,0,,,2020,,
Faville prairie,1,,Remnant,0,0,1,0,,,2020,,
John Muir County Park,1,,Remnant,0,0,1,0,,,2020,,
Lulu lake,1,,Remnant,0,0,0,0,,,NA,,
Pleasant Valley Conservancy,0,,Remnant,0,0,1,0,,,2020,,
Scuppernog,1,,Remnant,0,0,0,0,,,NA,,
UW-Arboretum,1,,Remnant,0,0,0,0,,,NA,,
Hauser Road,1,,Remnant,0,0,0,0,,,NA,,
Snapper Prairie,1,,Remnant,0,0,0,0,,,NA,,